School ID,School Name,Street Address,City,State,ZIP,Low Grade*,High Grade*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*,lat,lng
6002075,Bridges Academy,1325 53rd Ave.,Oakland,CA,94601,KG,05,No,No,Yes,Yes,442.00000,16.00000,27.6000000,408.00000,18.00000,37.7674712,-122.2070645
6000558,Brier Elementary,39201 Sundale Dr.,Fremont,CA,94538,KG,06,No,No,Yes,No,718.00000,28.00000,25.6000000,224.00000,53.00000,37.5407307,-121.9847228
6001663,Brookfield Elementary,401 Jones Ave.,Oakland,CA,94603,KG,05,No,No,Yes,Yes,296.00000,14.50000,20.4000000,263.00000,11.00000,37.7348579,-122.1892384
6089320,Brookvale Elementary,3400 Nicolet Ave.,Fremont,CA,94536,KG,06,No,No,No,†,717.00000,31.00000,23.1000000,94.00000,12.00000,37.5685781,-122.0151494
6000905,Burbank Elementary,353 B St.,Hayward,CA,94541,KG,06,No,No,Yes,Yes,914.00000,35.00000,26.1000000,530.00000,72.00000,37.6680482,-122.094318
0123026,Burbank Preschool Center,3550 64th Ave.,Oakland,CA,94605,–,–,No,–,†,†,†,–,†,†,†,37.7752832,-122.1772216
6001689,Burckhalter Elementary,3994 Burckhalter Ave.,Oakland,CA,94605,KG,05,No,No,Yes,Yes,248.00000,10.50000,23.6000000,201.00000,13.00000,37.7752905,-122.1665779
6000566,Cabrillo Elementary,36700 San Pedro Dr.,Fremont,CA,94536,KG,06,No,No,Yes,No,426.00000,20.00000,21.3000000,167.00000,50.00000,37.552039,-122.0241647
0131755,California School for the Blind,500 Walnut Ave.,Fremont,CA,94536,KG,12,No,Yes,–,–,40.00000,13.00000,3.1000000,37.00000,0.00000,37.5618224,-121.9654738
0131763,California School for the Deaf-Fremont,39350 Gallaudet Dr.,Fremont,CA,94538,KG,12,No,No,–,–,375.00000,73.91000,5.1000000,372.00000,0.00000,37.5610005,-121.9630056
6097653,Canyon Middle,PO Box 2146,Castro Valley,CA,94546,06,08,No,No,Yes,No,1388.00000,58.35000,23.8000000,285.00000,53.00000,37.7079558,-122.072069
6001697,Carl B. Munck Elementary,11900 Campus Dr.,Oakland,CA,94619,KG,05,No,No,Yes,Yes,236.00000,12.00000,19.7000000,160.00000,15.00000,37.7949441,-122.1740285
0125161,Castlemont High,8601 MacArthur Blvd.,Oakland,CA,94605,09,12,No,No,Yes,Yes,858.00000,52.29000,16.4000000,763.00000,26.00000,37.7591887,-122.1640862
6090351,Castro Valley Elementary,PO Box 2146,Castro Valley,CA,94546,KG,05,No,No,Yes,Yes,474.00000,18.50000,25.6000000,177.00000,43.00000,37.7079558,-122.072069
0132225,Castro Valley High,PO Box 2146,Castro Valley,CA,94546,09,12,No,No,No,†,2934.00000,121.83000,24.1000000,578.00000,120.00000,37.7079558,-122.072069
0133876,Castro Valley Virtual Academy,18400 Clifton Way,Castro Valley,CA,94546,KG,12,No,No,No,†,13.00000,0.60000,21.7000000,4.00000,0.00000,37.7133204,-122.0925559
6056873,Centerville Junior High,37720 Fremont Blvd.,Fremont,CA,94536,07,08,No,No,Yes,No,1006.00000,44.71000,22.5000000,230.00000,54.00000,37.556579,-122.000201
6097679,Cesar Chavez Middle,2801 Hop Ranch Rd.,Union City,CA,94587,06,08,No,No,Yes,Yes,1252.00000,54.50000,23.0000000,645.00000,133.00000,37.59129410000001,-122.0483208
6056949,Cesar Chavez Middle,27845 Whitman Rd.,Hayward,CA,94544,07,08,No,No,Yes,Yes,548.00000,24.56000,22.3000000,377.00000,50.00000,37.6363149,-122.0626534
6001648,Chabot Elementary,6686 Chabot Rd.,Oakland,CA,94618,KG,05,No,No,No,†,567.00000,21.50000,26.4000000,83.00000,8.00000,37.8505437,-122.2409115
6090369,Chabot Elementary,PO Box 2146,Castro Valley,CA,94546,KG,05,No,No,No,†,468.00000,16.50000,28.4000000,71.00000,24.00000,37.7079558,-122.072069
6000913,Cherryland Elementary,585 Willow Ave.,Hayward,CA,94541,KG,06,No,No,Yes,Yes,759.00000,30.00000,25.3000000,496.00000,47.00000,37.6756715,-122.0984615
0130534,Circle of Independent Learning,4700 Calaveras Ave.,Fremont,CA,94538,KG,12,Yes,No,Yes,No,347.00000,15.96000,21.7000000,115.00000,28.00000,37.5382547,-121.9909421
6057004,Claremont Middle,5750 College Ave.,Oakland,CA,94618,06,08,No,No,Yes,Yes,474.00000,22.00000,21.5000000,186.00000,25.00000,37.8459164,-122.2510316
6001739,Cleveland Elementary,745 Cleveland St.,Oakland,CA,94606,KG,05,No,No,Yes,Yes,411.00000,15.50000,26.5000000,170.00000,30.00000,37.8040293,-122.2439861
0112797,Coliseum College Prep Academy,1390 66th Ave.,Oakland,CA,94621,06,12,No,No,Yes,Yes,475.00000,29.30000,16.2000000,414.00000,35.00000,37.7615544,-122.1936724
6002521,Colonial Acres Elementary,17115 Meekland Ave.,Hayward,CA,94541,KG,05,No,No,Yes,Yes,590.00000,26.00000,22.7000000,447.00000,38.00000,37.683503,-122.1170228
0106542,Community Day High,4917 Mountain Blvd.,Oakland,CA,94619,09,12,No,No,Yes,Yes,22.00000,3.00000,7.3000000,19.00000,1.00000,37.7870386,-122.177815
0106559,Community Day Middle,4917 Mountain Blvd.,Oakland,CA,94619,06,08,No,No,No,†,11.00000,–,†,8.00000,0.00000,37.7870386,-122.177815
0115204,Community United Elementary,6701 International Blvd.,Oakland,CA,94621,KG,05,No,No,Yes,Yes,367.00000,18.00000,20.4000000,332.00000,15.00000,37.76095249999999,-122.1918545
0110460,Core Learning Academy at Conley-Caraballo High,541 Blanche St.,Hayward,CA,94544,09,12,No,No,Yes,Yes,154.00000,8.60000,17.9000000,69.00000,10.00000,37.6150934,-122.0284784
6090146,Cornell Elementary,920 Talbot Ave.,Albany,CA,94706,KG,05,No,No,No,†,553.00000,24.00000,23.0000000,68.00000,12.00000,37.889766,-122.2953818
6002539,Corvallis Elementary,14790 Corvallis St.,San Leandro,CA,94579,KG,05,No,No,Yes,No,489.00000,22.00000,22.2000000,252.00000,59.00000,37.697426,-122.15142
6090195,Cragmont Elementary,830 Regal Rd.,Berkeley,CA,94708,KG,05,No,No,Yes,Yes,399.00000,20.36000,19.6000000,128.00000,12.00000,37.8941183,-122.2675599
6090385,Creekside Middle,PO Box 2146,Castro Valley,CA,94546,06,08,No,No,No,†,784.00000,33.30000,23.5000000,154.00000,40.00000,37.7079558,-122.072069
6001754,Crocker Highlands Elementary,525 Midcrest Rd.,Oakland,CA,94610,KG,05,No,No,No,†,473.00000,20.00000,23.7000000,36.00000,2.00000,37.8110651,-122.2272317
0130484,Crossroads High (Alternative),35753 Cedar Blvd.,Newark,CA,94560,KG,12,No,No,Yes,No,55.00000,2.00000,27.5000000,30.00000,1.00000,37.5497787,-122.0373288
6002547,Dayton Elementary,1500 Dayton Ave.,San Leandro,CA,94579,KG,05,No,No,Yes,No,472.00000,19.00000,24.8000000,252.00000,43.00000,37.6879246,-122.1571916
0126763,Decoto School for Independent Study,725 Whipple Rd.,Union City,CA,94587,KG,12,No,No,Yes,No,118.00000,5.70000,20.7000000,56.00000,3.00000,37.6069932,-122.0271057
6002554,Del Rey Elementary,1510 Via Sonya,San Lorenzo,CA,94580,KG,05,No,No,Yes,Yes,526.00000,23.00000,22.9000000,292.00000,34.00000,37.6683856,-122.1378087
0132670,Del Valle Continuation High,2253 Fifth St.,Livermore,CA,94550,07,12,No,No,Yes,No,115.00000,12.00000,9.6000000,61.00000,5.00000,37.6786701,-121.7666941
6118525,Delaine Eastin Elementary,34901 E.in Dr.,Union City,CA,94587,KG,05,No,No,No,†,775.00000,31.00000,25.0000000,149.00000,48.00000,37.5675191,-122.07419
0132688,Dewey Academy,1111 2nd Ave.,Oakland,CA,94606,09,12,No,No,Yes,Yes,240.00000,11.60000,20.7000000,204.00000,10.00000,37.7968463,-122.2581661
6090005,Donald D. Lum Elementary,420 Grand St.,Alameda,CA,94501,05,05,No,No,Yes,No,87.00000,3.00000,29.0000000,28.00000,2.00000,37.7613266,-122.2624519
6001366,Donlon Elementary,4150 Dorman Rd.,Pleasanton,CA,94588,KG,05,No,No,No,†,814.00000,32.00000,25.4000000,50.00000,5.00000,37.6839722,-121.9083259
6001374,Dublin Elementary,7997 Vomac Rd.,Dublin,CA,94568,KG,05,No,No,Yes,No,894.00000,33.60000,26.6000000,92.00000,19.00000,37.714409,-121.936042
0132704,Dublin High,8151 Village Pkwy.,Dublin,CA,94568,09,12,No,No,Yes,No,2750.00000,113.60000,24.2000000,302.00000,33.00000,37.7203071,-121.9241556
6001457,E. L. Musick Elementary,5735 Musick Ave.,Newark,CA,94560,KG,06,No,No,Yes,Yes,295.00000,9.00000,32.8000000,169.00000,22.00000,37.543748,-122.0306852
6000590,E. M. Grimmer Elementary,43030 Newport Dr.,Fremont,CA,94538,KG,06,No,No,Yes,No,495.00000,24.00000,20.6000000,208.00000,36.00000,37.5202833,-121.9512822
6000921,East Avenue Elementary,2424 E. Ave.,Hayward,CA,94541,KG,06,No,No,No,†,581.00000,24.00000,24.2000000,295.00000,57.00000,37.6715797,-122.0550566
6001242,East Avenue Middle,3951 E. Ave.,Livermore,CA,94550,06,08,No,No,Yes,No,648.00000,26.02000,24.9000000,163.00000,28.00000,37.6790547,-121.7508567
0111799,East Bay Arts High,20450 Royal Ave.,Hayward,CA,94541,09,12,No,No,No,†,220.00000,13.93000,15.8000000,137.00000,8.00000,37.6696219,-122.114452
0115600,East Oakland Pride Elementary,8000 Birch St.,Oakland,CA,94621,KG,05,No,No,Yes,Yes,351.00000,14.00000,25.1000000,326.00000,10.00000,37.7592062,-122.176778
0195024,Eden Area ROP,26316 Hesperian Blvd.,Hayward,CA,94545,10,12,No,–,†,†,0.00000,–,†,–,–,37.6378592,-122.1003873
6090583,Eden Gardens Elementary,PO Box 5000,Hayward,CA,94540,KG,06,No,No,No,†,587.00000,24.00000,24.5000000,286.00000,45.00000,37.6599999,-122.1
6002562,Edendale Middle,16160 Ashland Ave.,San Lorenzo,CA,94580,06,08,No,No,Yes,Yes,699.00000,30.90000,22.6000000,529.00000,51.00000,37.6957666,-122.1178705
6090013,Edison Elementary,2700 Buena Vista Ave.,Alameda,CA,94501,KG,05,No,No,No,†,470.00000,19.00000,24.7000000,55.00000,12.00000,37.7646679,-122.2346781
6057061,Edna Brewer Middle,3748 13th Ave.,Oakland,CA,94610,06,08,No,No,Yes,Yes,805.00000,39.10000,20.6000000,452.00000,54.00000,37.8037092,-122.2293593
6000947,Eldridge Elementary,26825 Eldridge Ave.,Hayward,CA,94544,KG,06,No,No,Yes,Yes,423.00000,16.00000,26.4000000,257.00000,44.00000,37.6362182,-122.0858305
0125930,Eleanor Murray Fallon,3601 Kohnen Way,Dublin,CA,94568,06,08,No,No,No,†,1506.00000,61.70000,24.4000000,67.00000,8.00000,37.7158491,-121.8662051
0112789,Elmhurst Community Prep,1800 98th Ave.,Oakland,CA,94603,06,08,No,No,Yes,Yes,371.00000,23.70000,15.7000000,336.00000,16.00000,37.7461669,-122.165824
6001812,Emerson Elementary,4803 Lawton Ave.,Oakland,CA,94609,KG,05,No,No,Yes,Yes,314.00000,12.50000,25.1000000,210.00000,22.00000,37.8344201,-122.2579445
6090211,Emerson Elementary,2800 Forest Ave.,Berkeley,CA,94705,KG,05,No,No,Yes,Yes,320.00000,16.50000,19.4000000,106.00000,13.00000,37.861346,-122.2502661
0132746,Emery Secondary,1100 47th St.,Emeryville,CA,94608,09,12,No,No,Yes,Yes,179.00000,14.69000,12.2000000,117.00000,15.00000,37.835677,-122.2828249
0119933,Emeryville Preschool Students,1275 - 61st St.,Emeryville,CA,94608,–,–,No,–,†,†,†,–,†,†,†,37.84286669999999,-122.2874081
6001259,Emma C. Smith Elementary,391 Ontario Dr.,Livermore,CA,94550,KG,05,No,No,No,†,738.00000,28.90000,25.5000000,54.00000,6.00000,37.6663123,-121.7968116
0132142,Encinal Junior/Senior High,210 Central Ave.,Alameda,CA,94501,06,12,No,No,Yes,No,1329.00000,64.26000,20.7000000,534.00000,53.00000,37.7716468,-122.2898264
0102988,EnCompass Academy Elementary,1025 81st Ave.,Oakland,CA,94621,KG,05,No,No,Yes,Yes,326.00000,11.30000,28.8000000,294.00000,13.00000,37.7529046,-122.1864449
6002190,Esperanza Elementary,10315 E St.,Oakland,CA,94603,KG,05,No,No,Yes,Yes,352.00000,13.00000,27.1000000,306.00000,28.00000,37.7372117,-122.1741615
6002323,Fairlands Elementary,4151 W. Las Positas Blvd.,Pleasanton,CA,94588,KG,05,No,No,No,†,785.00000,29.40000,26.7000000,38.00000,6.00000,37.6924617,-121.8740946
6000962,Fairview Elementary,PO Box 5000,Hayward,CA,94540,KG,06,No,No,Yes,Yes,567.00000,22.50000,25.2000000,352.00000,52.00000,37.6599999,-122.1
6113815,Faith Ringgold School of Arts and Science,1570 Ward St.,Hayward,CA,94541,KG,08,No,No,Yes,Yes,140.00000,6.15000,22.8000000,88.00000,13.00000,37.6770515,-122.0726923
0130096,Foothill High,4375 Foothill Rd.,Pleasanton,CA,94588,09,12,No,No,Yes,No,2176.00000,91.55000,23.8000000,151.00000,42.00000,37.6717472,-121.919361
6111330,Forest Park Elementary,34400 Maybird Cir.,Fremont,CA,94555,KG,06,No,No,No,†,1013.00000,38.00000,26.7000000,40.00000,8.00000,37.5620885,-122.0520971
6090021,Frank Otis Elementary,3010 Fillmore St.,Alameda,CA,94501,KG,05,No,No,No,†,644.00000,26.00000,24.8000000,100.00000,11.00000,37.7542251,-122.2385384
6090039,Franklin Elementary,1433 San Antonio Ave.,Alameda,CA,94501,KG,05,No,No,No,†,345.00000,13.00000,26.5000000,68.00000,5.00000,37.7690918,-122.2608913
6001820,Franklin Elementary,915 Foothill Blvd.,Oakland,CA,94606,KG,05,No,No,Yes,Yes,702.00000,27.50000,25.5000000,606.00000,31.00000,37.7935767,-122.2489931
6106983,Fred E. Weibel Elementary,45135 S. Grimmer Blvd.,Fremont,CA,94539,KG,06,No,No,No,†,833.00000,33.00000,25.2000000,53.00000,3.00000,37.50615,-121.926185
0112813,Fred T. Korematsu Discovery Academy,10315 E St.,Oakland,CA,94603,KG,05,No,No,Yes,Yes,339.00000,14.00000,24.2000000,301.00000,12.00000,37.7372117,-122.1741615
6001390,Frederiksen Elementary,7243 Tamarack Dr.,Dublin,CA,94568,KG,05,No,No,Yes,No,813.00000,30.80000,26.4000000,132.00000,29.00000,37.7152067,-121.9228665
0125716,Fremont High,4610 Foothill Blvd.,Oakland,CA,94601,09,12,No,No,Yes,Yes,827.00000,45.31000,18.3000000,760.00000,21.00000,37.7741975,-122.209378
6057020,Frick Middle,2845 64th Ave.,Oakland,CA,94605,06,08,No,No,Yes,Yes,227.00000,15.35000,14.8000000,206.00000,6.00000,37.7716769,-122.1843165
6001838,Fruitvale Elementary,3200 Boston Ave.,Oakland,CA,94602,KG,05,No,No,Yes,Yes,367.00000,17.00000,21.6000000,304.00000,13.00000,37.7962778,-122.2137663
0115576,Futures Elementary,6701 International Blvd.,Oakland,CA,94621,KG,05,No,No,Yes,Yes,294.00000,13.00000,22.6000000,285.00000,6.00000,37.76095249999999,-122.1918545
6056881,G. M. Walters Junior High,39600 Logan Dr.,Fremont,CA,94538,07,08,No,No,Yes,Yes,742.00000,37.00000,20.1000000,247.00000,62.00000,37.5367893,-121.9837322
6001846,Garfield Elementary,1640 22nd Ave.,Oakland,CA,94606,KG,05,No,No,Yes,Yes,654.00000,25.00000,26.2000000,567.00000,39.00000,37.786459,-122.2356974
6002372,Garfield Elementary,13701 Bancroft Ave.,San Leandro,CA,94578,KG,05,No,No,Yes,Yes,412.00000,16.60000,24.8000000,221.00000,43.00000,37.7152512,-122.1404925
0119859,Gateway to College at Laney College,900 Fallon St.,Oakland,CA,94607,09,12,No,No,Yes,Yes,90.00000,–,†,42.00000,1.00000,37.79647690000001,-122.2628416
0128298,Glankler Early Learning Center,39207 Sundale Dr.,Fremont,CA,94538,KG,KG,No,No,†,†,0.00000,–,†,–,–,37.5397135,-121.9856113
6000988,Glassbrook Elementary,975 Schafer Rd.,Hayward,CA,94544,KG,06,No,No,Yes,Yes,537.00000,22.00000,24.4000000,363.00000,23.00000,37.6411776,-122.0800104
6000624,Glenmoor Elementary,4620 Mattos Dr.,Fremont,CA,94536,KG,06,No,No,Yes,No,651.00000,26.00000,25.0000000,175.00000,32.00000,37.5452351,-122.0048624
6001853,Glenview Elementary,4215 La Cresta Ave.,Oakland,CA,94602,KG,05,No,No,Yes,No,455.00000,19.16000,23.7000000,151.00000,12.00000,37.8056021,-122.2192529
0115584,Global Family,2035 40th Ave.,Oakland,CA,94601,KG,05,No,No,Yes,Yes,442.00000,17.00000,26.0000000,403.00000,25.00000,37.7794661,-122.2131484
0133397,Granada High,400 Wall St.,Livermore,CA,94550,09,12,No,No,No,†,2261.00000,94.30000,24.0000000,404.00000,31.00000,37.674993,-121.7878354
6002604,Grant Elementary,879 Grant Ave.,San Lorenzo,CA,94580,KG,05,No,No,Yes,Yes,403.00000,16.00000,25.2000000,196.00000,54.00000,37.6813283,-122.1358641
6001879,Grass Valley Elementary,4720 Dunkirk Ave.,Oakland,CA,94605,KG,05,No,No,Yes,Yes,260.00000,11.00000,23.6000000,184.00000,9.00000,37.7528211,-122.1245702
0115618,Greenleaf Elementary,6328 E. 17th St.,Oakland,CA,94621,KG,08,No,No,Yes,Yes,638.00000,27.36000,23.3000000,566.00000,38.00000,37.7646844,-122.1947809
6115554,Guy Jr. Emanuele Elementary,600 G St.,Union City,CA,94587,KG,05,No,No,Yes,Yes,586.00000,23.50000,24.9000000,298.00000,60.00000,37.59991430000001,-122.0199458
6001473,H. A. Snow Elementary,6580 Mirabeau Dr.,Newark,CA,94560,KG,06,No,No,Yes,Yes,360.00000,13.00000,27.7000000,161.00000,31.00000,37.5428734,-122.0490306
6000996,Harder Elementary,495 Wyeth Rd.,Hayward,CA,94544,KG,06,No,No,Yes,Yes,608.00000,24.00000,25.3000000,372.00000,38.00000,37.6512259,-122.0721591
0123935,Harold William Kolb,3150 Palermo Way,Dublin,CA,94568,KG,05,No,No,No,†,948.00000,37.00000,25.6000000,69.00000,7.00000,37.7120494,-121.8588406
6066500,Harvest Park Middle,4900 Valley Ave.,Pleasanton,CA,94566,06,08,No,No,No,†,1189.00000,49.77000,23.9000000,69.00000,11.00000,37.6752892,-121.8832965
0122986,Harvest Park Preschool Center,4900 Valley Ave.,Pleasanton,CA,94566,–,–,No,–,†,†,†,–,†,†,†,37.6752892,-121.8832965
6000640,Harvey Green Elementary,42875 Gatewood St.,Fremont,CA,94538,KG,06,No,No,Yes,No,510.00000,20.00000,25.5000000,125.00000,16.00000,37.5192764,-121.9588807
6002299,Havens Elementary,323 Highland Ave.,Piedmont,CA,94611,KG,05,No,No,Yes,No,476.00000,21.20000,22.5000000,6.00000,0.00000,37.8254759,-122.2328608
0133629,Hayward High,PO Box 5000,Hayward,CA,94540,09,12,No,No,Yes,Yes,1607.00000,71.68000,22.4000000,980.00000,161.00000,37.6599999,-122.1
6090047,Henry Haight Elementary,2025 Santa Clara Ave.,Alameda,CA,94501,KG,05,No,No,Yes,Yes,554.00000,22.00000,25.2000000,258.00000,18.00000,37.769758,-122.2507214
6114318,Henry P. Mohr Elementary,3300 Dennis Dr.,Pleasanton,CA,94588,KG,05,No,No,No,†,629.00000,25.50000,24.7000000,28.00000,1.00000,37.6922473,-121.8601304
6002612,Hesperian Elementary,620 Drew St.,San Lorenzo,CA,94580,KG,05,No,No,Yes,Yes,589.00000,26.00000,22.7000000,410.00000,55.00000,37.69346,-122.125025
0131334,Highland,2021 Highland Blvd.,Hayward,CA,94540,KG,12,No,No,Yes,Yes,25.00000,3.00000,8.3000000,19.00000,2.00000,37.6620657,-122.0579655
6001911,Hillcrest Elementary,30 Marguerite Dr.,Oakland,CA,94618,KG,08,No,No,No,†,387.00000,15.80000,24.5000000,28.00000,0.00000,37.8407556,-122.2324619
6002620,Hillside Elementary,15980 Marcella St.,San Leandro,CA,94578,KG,05,No,No,Yes,Yes,452.00000,19.00000,23.8000000,351.00000,36.00000,37.7019423,-122.1167169
